"","Reporter.Countries","Partner.Countries","Value_YearMean","LongitudeReport","LatitudeReport","LongitudePartner","LatitudePartner"
"260","Brazil","Panama",4.2,-53.09783113,-10.78777702,-80.11915156,8.51750797
"261","Brazil","Paraguay",702.4,-53.09783113,-10.78777702,-58.40013703,-23.22823913
"262","Brazil","Philippines",81.8,-53.09783113,-10.78777702,122.8839325,11.77536778
"263","Brazil","Poland",5667.6,-53.09783113,-10.78777702,19.39012835,52.12759564
"264","Brazil","Portugal",7814.4,-53.09783113,-10.78777702,-8.50104361,39.59550671
"265","Brazil","Qatar",165.8,-53.09783113,-10.78777702,51.18479632,25.30601188
"266","Brazil","Republic of Korea",27780.4,-53.09783113,-10.78777702,127.8391609,36.38523983
"267","Brazil","Romania",2368.2,-53.09783113,-10.78777702,24.97293039,45.85243127
"268","Brazil","Russian Federation",30545.2,-53.09783113,-10.78777702,96.68656112,61.98052209
"269","Brazil","Saudi Arabia",2978.2,-53.09783113,-10.78777702,44.53686271,24.12245841
"270","Brazil","Serbia",34,-53.09783113,-10.78777702,20.78958334,44.2215032
"271","Brazil","Singapore",770.8,-53.09783113,-10.78777702,103.8172559,1.35876087
"272","Brazil","Slovakia",1872,-53.09783113,-10.78777702,19.47905218,48.70547528
"273","Brazil","Slovenia",28895,-53.09783113,-10.78777702,14.80444238,46.11554772
"274","Brazil","South Africa",3698.4,-53.09783113,-10.78777702,25.08390093,-29.00034095
"275","Brazil","Spain",42666,-53.09783113,-10.78777702,-3.64755047,40.24448698
"276","Brazil","Sweden",37855.8,-53.09783113,-10.78777702,16.74558049,62.77966519
"277","Brazil","Switzerland",2608.8,-53.09783113,-10.78777702,8.20867471,46.79785878
"278","Brazil","Syrian Arab Republic",17666.2,-53.09783113,-10.78777702,38.50788204,35.02547389
"279","Brazil","Thailand",144,-53.09783113,-10.78777702,101.0028813,15.11815794
"280","Brazil","Trinidad and Tobago",253.6,-53.09783113,-10.78777702,-61.26567923,10.45733408
"281","Brazil","Tunisia",8046.2,-53.09783113,-10.78777702,9.55288359,34.11956246
"282","Brazil","Turkey",54719.2,-53.09783113,-10.78777702,35.16895346,39.0616029
"283","Brazil","Ukraine",1580.8,-53.09783113,-10.78777702,31.38326469,48.99656673
"284","Brazil","United Arab Emirates",4260.4,-53.09783113,-10.78777702,54.3001671,23.90528188
"285","Brazil","United Kingdom of Great Britain and Northern Ireland",46156.2,-53.09783113,-10.78777702,-2.86563164,54.12387156
"286","Brazil","United States of America",377255.6,-53.09783113,-10.78777702,-112.4616737,45.6795472
"287","Brazil","Uruguay",1078,-53.09783113,-10.78777702,-56.01807053,-32.79951534
"288","Brazil","Uzbekistan",7.6,-53.09783113,-10.78777702,63.14001528,41.75554225
"289","Brazil","Venezuela (Bolivarian Republic of)",4388.4,-53.09783113,-10.78777702,-66.18184123,7.12422421
"290","Brazil","Viet Nam",810.2,-53.09783113,-10.78777702,106.299147,16.6460167
"291","Bulgaria","Austria",53.4,25.21552909,42.76890318,14.1264761,47.58549439
"292","Bulgaria","Belgium",13.4,25.21552909,42.76890318,4.64065114,50.63981576
"293","Bulgaria","Bosnia and Herzegovina",3.8,25.21552909,42.76890318,17.76876733,44.17450125
"294","Bulgaria","Croatia",1.8,25.21552909,42.76890318,16.40412899,45.08047631
"295","Bulgaria","Georgia",3.8,25.21552909,42.76890318,43.50780252,42.16855755
"296","Bulgaria","Germany",87,25.21552909,42.76890318,10.38578051,51.10698181
"297","Bulgaria","Greece",20.4,25.21552909,42.76890318,22.95555794,39.07469623
"298","Bulgaria","Hungary",25.6,25.21552909,42.76890318,19.39559116,47.16277506
